id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
7590,235000,50000,5,10,1,1,1,0,10.71,1948,90,14,4,0
7591,1000000,15000,2,12,3,1,1,0,19.01,1462,103.2,6,3,0
7592,5500000,22000,23,5,1,1,0,0,17.09,2993,261.4,4,3,0
7593,400000,100000,14,8,1,1,1,0,15.96,2523,62.1,9,1,0
7594,400000,130000,22,4,1,1,1,0,25.32,1198,77,6,3,0
7595,220000,22000,0,7,3,1,0,0,21.9,624,37.48,4,2,0
7596,229999,290000,5,10,1,1,1,0,13.1,2446,75,10,4,0
7597,974000,15000,14,8,1,1,1,0,16.55,2498,105,6,1,0
7598,500000,60000,26,3,3,1,1,0,18.15,1198,82,6,1,0
7599,60000,45000,13,2,3,1,1,0,25.4,624,38,4,2,0
7600,400000,25000,28,12,3,1,1,0,18.15,1198,82,6,3,0
7601,200000,80000,4,13,1,1,1,0,12.2,1948,68,10,3,0
7602,500000,35000,1,7,1,1,1,0,25.32,1198,77,6,2,0
7603,999000,25000,11,15,1,1,1,0,15.4,2179,120,9,0,0
7604,999000,25000,14,8,1,1,1,0,15.4,2179,120,9,1,0
7605,500000,50000,16,2,1,1,1,0,25.32,1198,77,6,2,0
7606,110000,15000,13,2,3,1,1,0,25.4,624,37.5,4,2,0
7607,450000,112000,16,2,1,1,1,0,10.5,2609,120,9,2,0
7608,430000,20000,16,2,0,1,1,0,32.26,998,58.3,4,2,0
7609,235000,90000,26,3,1,1,1,0,14,1948,90,9,1,0
7610,450000,370000,8,17,1,1,1,0,12.05,2179,120,9,4,0
7611,70000,40000,5,10,3,1,1,0,26,624,35,4,4,0
7612,400000,30000,14,8,1,1,1,0,25.32,1198,77,6,1,0
7613,679000,5000,0,7,1,1,1,0,0,2523,70,2,2,0
